url,namaPaket,totalHarga,venueType,lokasi,jumlahTamu,image,MC,Wedding Car,Photographers,Videographers,Crew,Cake,Singer,Ins,MUA,Pax,Wedding Stage,Wedding Gate,Bridal Table Decoration,Groom,Bride,detailPaket
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
https://store.weddingku.com/wedding-package/venue-deal/international-all-in-package-at-holiday-inn-suites-jakarta-gajah-mada-for-200-pax,International All-In Package at Holiday Inn & Suites Jakarta Gajah Mada for 200 Pax,181300000,Ballroom,Jakarta,200-299,https://images.weddingku.com/images/upload/store/product/big/373-uypc6gfrr4t5.jpg,1 (One) of Master of Ceremony,0,0,0,Crewâ€™s meal box for 30 (thirty) people,3 Tiers Wedding Cake,1 (One) Singer,2 (Two) of Instruments,0,0,3D Stage decoration (7.2 meter) with 1 set of sofa and premium artificial flower setting on backdrop,0,0,2 (two) nights stay in One Bedroom Suite for Bride & Groom including complimentary wedding amenitiesآ ,2 (two) nights stay in One Bedroom Suite for Bride & Groom including complimentary wedding amenitiesآ ,"Hotel - Intimate Wedding for 200 Pax (2022) by Holiday Inn & Suites Jakarta Gajah Mada VENUE: Harmony Grand Ballroom (Indoor-Level 7)LETâ€™S PREPARE THE CELEBRATION1 (one) time food tasting of selected buffet menu for 6 (six) people1 (one) time technical meeting inclusive of coffee break refreshment for 10 (ten) peopleFAMILY TREATS2 (two) nights stay in One Bedroom Suite for Bride & Groom including complimentary wedding amenitiesآ and breakfast for 2 (two) people at Duta Cafأ© & Restaurant2 (two) nights stay in 2 (two) Standard Rooms with breakfast for 4 (four) people at Duta Cafأ© & RestaurantSpecial room rate for family / relatives on the day of event, day prior and day afterPRIOR TO THE CELEBRATION3 (three) hospitality rooms for blessing ceremony / tea pai & dressing room on the day of eventCoffee break refreshment during blessing ceremony / tea pai for 30 (thirty) peopleCrewâ€™s meal box for 30 (thirty) peopleCELEBRATIONآ Buffet set up 140 (one hundred forty) portions from wedding buffet menu selection3 (three) food stalls with 100 (one hundred) portions each of menu selectionFree flow of mineral water during the eventSoft drink by glass (equal to buffet order)Champagne glass fountain & wedding toast with 2 (two) bottles of sparkling juiceStandard centerpiece for family tables with fresh flower arrangementExclusively designed reception books with pensComplimentary 10 (ten) free parking vouchers & VIP parking slotsآ Complimentary use of 1 (one) unit LCD projector with screenComplimentary use of 10.000 watts electricity at the venueWedding Organizer - International Wedding Package by WilonaWedding GownOne Wedding Gown (ready stock)Free to borrow:One Crown/ Hairpiece/EarringOne VeilOne Petticoat for BallgownOne Mannequinآ One RobeMakeup & Hair DoMakeup and Hair Do for Bride Plus RetouchMakeup and Hair Do for Groom plus RetouchTest Make UpGroom`s Suit1 Suit1 Vest1 Pants1 Shirt1 TieMaterial Polyester Fashion/PolycattonWedding Cake3 Tiers Wedding CakeCake Box: 3 Boxes 17cmآ 10 Pcs for Feeding Cake CeremonyWedding OrganizerWorking maximum three months before the wedding dayCreating a detailed rundown for the wedding dayCoordinate and organize the whole event at the wedding day, following the rundown that has been made. We will work from 06.00 in the morning or onwardsConduct a technical meeting before the wedding day with all the vendorsTwo times face to face meeting, including technical meetingPrepare the team that will be on duty on the wedding day with a communication deviceScope of working area: 2 venues only on the same day
Decoration - Silver Wedding Decoration PackageBallroom Area3D Stage decoration (7.2 meter) with 1 set of sofa and premium artificial flower setting on backdropMini garden setting with fresh mix artificial6 Standing artificial flowerWedding gate 2 pilarsBackdrop for music stageVIP fences with minimalist decorationRose petal carpetVoyage Area2 Angpao tables with minimalist flowerGallery photo decorationComplimentFree frame screen projector with styrofoamFree lighting for every pot of decorationWedding Day Photo & Video - Package Royal Wedding Full DayFull Day2 Photographer1 Videographer1 Framed printed (40x60)1 Framed printed (minimalis)50+ Edited photosTeaser video cinematic 1 minuteEdit clip video (3-5 minute)1 Exclusive album (20x30 22 page)All files in USB 32GB
MC & Entertainment - Gold MC & Entertainment Package1 (One) of Master of Ceremony1 (One) SingerBaby Piano2 (Two) of InstrumentsSound System 5000 Watt"
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
https://store.weddingku.com/wedding-package/venue-deal/wedding-2022-for-150-pax-at-grand-ballroom-jw-marriott-by-pinkbow,"Wedding 2022 for 150 Pax at Grand Ballroom, JW Marriott by Pinkbow",231000000,Ballroom,Jakarta,150-170,https://images.weddingku.com/images/upload/store/product/big/2336-t8pb62erq46o.jpg,0,0,0,0,0,0,0,0,0,Food Stall Package for 150 Pax with 4 Courses (Serve Direct to the Guest),0,0,0,0,0,"Hotel - Food Stall Wedding Package for 150 Pax by JW Marriott JakartaAccomodationTwo (2) Night Stay at One (1) Deluxe Room Including Breakfast for 2 PersonsFood & BeveragesFood Stall Package for 150 Pax with 4 Courses (Serve Direct to the Guest)Free flow mineral waterFood Tasting for 6 personsSpecial BenefitsOne (1) meeting room for technical meeting with mineral water2 Hospitality Rooms for changing room and organizerUsage of electricityParking Tickets for 10 Pax
Wedding Organizer - Lavender Package (150-200 Pax)Pre-Wedding ServicesPinkbow.co performs as planner service providerAssist clients in planning the wedding day. From concept creation to detailed rundowns for the wedding day. All these activities were carried out with joint discussions between Pinkbow.co, clients, families, vendors, and other related parties.Helping clients find all the vendor that suits their wishes and needs on their wedding day.Helping clients set the budget and arrange the payment for the vendors.Develop an itinerary and schedule appointments for venue inspections, vendor appointments, food testing, and other activities related to wedding preparation.Conduct a final meeting before the wedding day with all the wedding vendors.Assist the blessing ceremony rehearsal (if needed).Prepare the team that will be on duty on the wedding day. The number of crews that will be working on the wedding day was in accordance with the agreed package. While the division of duties for each crew would be discussed further with the Wedding Consultant from Pinkbow.co.Wedding DayCoordinate and organizing the whole event, following the rundown that has been made (working together will all the vendors, clients, families, and all related parties). Including morning event for Groom and Bride, Blessing Ceremony, Civil Registration, Tea Pai ceremony, and Receptions.Ensure all activities take place according to the rundown.Handover all personal goods deposited at Pinkbow.co to the party designated by the client at the wedding day (for example souvenirs, photos for welcome area`s decoration, etc).Free Usage/Rent: Ring Holder, Teapay Set, Disposal Cup, Angpau, Angpau Sticker, Angpau Box, Red Cloth, Onde & Misoa, Xuang Xi, Flower Girl Basket, laptop, Padlock, Reception Book for Ceremony, Stationary, Bride Kimono, Plastic Clip, Medicines, Sewing KitDecoration - Casablanca 2 Package (Ballroom)Main DecorBackdrop pelaminan up to 9 meter1 pc wedding gate (mix artifial flower)Kain 1 sisi di belakang backdrop pelaminanSimple backdrop for musicWelcome AreaMeja angpao up to 2 pcs + simple flower arrangement1 spot photo gallery backdrop1 pc welcome signReception backdropAisle4 pcs standing flower (mix flower) & 6 spot mini garden peacockRose petal carpetGuest TableUp to 10 pcs guest round tableMix flower arrangement, LED candle, mirror base & propsIncludeStandard lighting for decoration1 set personal flower & corsageTeapai property (chinoiserie)"
https://store.weddingku.com/wedding-package/venue-deal/special-all-in-package-for-200-pax-at-sasono-mulyo-ballroom-by-le-meridien-by-jwp-wedding,Special All-In Package for 200 Pax at Sasono Mulyo Ballroom by Le Meridien by JWP Wedding,293500000,Ballroom,Jakarta,200-250,https://images.weddingku.com/images/upload/store/product/big/632-ydtg8kiv75x6.jpg,0,Wedding Car,2 Photographers & 2 Videographers,2 Photographers & 2 Videographers,1 Project Manager + 11 Crew (One Day Session),3 Tiers Cake,1 Singer,3 Instruments,0,Food tasting for 10 persons,Wedding Stage (10 meter-14 meter),Wedding Gate,Bridal Table Decoration,Groom Suit,0,"Hotel - Intimate Set Menu Wedding Package for 200 Pax (2022) by Le Meridien JakartaFood & BeveragesSet menu for 200 pax with free flow waterChilled juices equal to buffet order2 (two) Sparkling JuiceFood tasting for 10 persons2 (two) Hospitality roomComplimentary coffee break for 20 pax during final technical meetingComplimentary coffee break for tea pai or blessing ceremony for 25 paxComplimentary family early dinner for 20 paxComplimentary crew meal box for 20 pax6 (six) Reception books34 (thirty four) Standard flower centerpiece15 (fifteen) Parking vouchers1 (one) Bridal Suite Room for 1 (one) night with breakfast for 2 (two) persons3 (three) Deluxe Room for family for 1 (one) night with breakfast for 2 (two) personsSpecial Deluxe Room Rate for family and relativesWedding Organizer - Special All-In Package by JWP WeddingWedding Organizer by JWP Wedding1 Project Manager + 11 Crew (One Day Session)Vendor suggestion and meetingsRundown arrangement and final rundownTechnical meeting arrangementFinal meeting before the wedding dayHoly matrimony rehearsalWedding checklist and monitoring preparationLoading souvenir to the venueBonus: Angpao box for holy matrimony (borrowed), ring basket for holy matrimony (borrowed), guest book for holy matrimony, empty angpao, label for angpao and tea pai, standard stationery (marker, hand checker, double tip, etc), general medicine (panadol, hansalplast, promag, etc), Standard room decoration, tea pai set, bowl for onde and misua procession, mingle basket for receptionPhoto & Video2 Photographers & 2 VideographersAll FilesFull Day for One Day SessionMC & Entertainment1 MC3 Instruments1 SingerSound SystemWedding DecorationWedding Stage (10 meter-14 meter)Bridal Table DecorationWedding GateRose PetalReception Table with Simple DecorationMini Photo GalleryEntertainment Area DecorationFull Artificial FlowerWedding CarAlphard/Vellfire Gen 212 HoursWith Driver & FuelGroom Suit1 Suit1 Shirt1 Vest1 Pants2 Set of TieWedding Cake3 Tiers CakeFamily Cake, Mingle Cake & Slice Cake"
https://store.weddingku.com/wedding-package/venue-deal/favourite-bundle-venue-deals-2022-for-100-pax-at-millennium-hotel-sirih-jakarta-by-red-hat-organizer,Favourite Bundle Venue Deals 2022 for 100 Pax at Millennium Hotel Sirih Jakarta by Red Hat Organizer,102500000,Ballroom,Jakarta,100-199,https://images.weddingku.com/images/upload/store/product/big/531-dhxk05maa7cw.jpg,1 (One) of Master of Ceremony,0,2 Photographers,0,0,0,1 (One) Singer,2 (Two) of Instruments,0,Food testing for 2 persons,0,0,0,0,0,"Hotel - Intimated Package for 100 Pax by Millennium Hotel Sirih JakartaFunction RoomWaiver of venue rental fee for 3 (three) hoursFree usage of function room for technical meetingMenuWedding buffet for 80 portions with menu:2 Appetizer1 SoupSteam Rice5 Main Courses3 Desserts100 portions of Bakwan MalangFood testing for 2 personsBeveragesFree flow mineral water during the event1 (one) bottle of sparkling juice for wedding toast100 glasses of soft drinkPrivilagesComplimentary 2 (two) Deluxe Room 1 (one) night including breakfast for 2 persons1 (one) fruit basket at B&G room1 (one) reception book5 (five) free parking for family membersElectricity usage up to 5000 wattSpecial rate for family or relative on the day event, day prior, and day afterWedding Organizer - Silver Package for until 100 Pax5-7 crews wedding organizer1 leaderUnlimited meeting coordination1x Technical Meeting with all vendors1x Final Meeting WO Team 1 week before the dayWedding Preparation & SchedulingHoly Matrimony Rehearsal (if needed)on The Day Service: Morning Procession, Beauty Shoot, Blessing Ceremony, Teapai, Rehearsal, ReceptionDecoration - Full Intimate Wedding (Valid until Dec 2022)Backdrop 8mSofaTaman depan pelaminanKarpet jalan20 aisle2 photo gallery1 set kursi meja akad dan dekorasiWelcome gateWelcome signBackdrop penerima tamuRak souvenir2 kotak angpaoHand bouquetWedding Day Photo & Video - Gold Package Photo & Video2 Photographers2 VideographerSameday Edit VideoVideo Cinematic 5 Minutes1 Album ExclusiveWooden Box AlbumAll File SoftcopyMC & Entertainment - Gold MC & Entertainment Package1 (One) of Master of Ceremony1 (One) SingerBaby Piano2 (Two) of InstrumentsSound System 5000 Watt"
https://store.weddingku.com/wedding-package/venue-deal/international-all-in-package-at-garden-terrace-klub-kelapa-gading-for-100-pax,"International All-In Package at Garden Terrace, Klub Kelapa Gading for 100 Pax",73000000,Garden Wedding,Jakarta,100-199,https://images.weddingku.com/images/upload/store/product/big/2506-osj7nay44gn3.jpg,1 Master of Ceremony (MC),0,0,0,0,3 Tiers Wedding Cake,1 Singer,2 Music Instruments (Keyboard & Guitar/Guitar & Cajon),0,Menu prasmanan (Indonesia/International) untuk 100 Pax,0,0,0,0,0,"Venue & Catering - Silver Wedding Package for 100 Pax (2022) by Klub Kelapa GadingMenu prasmanan (Indonesia/International) untuk 100 PaxKomposisi menu: 2 menu pembuka, 1 soup, 2 menu utama, 2 menu pelengkap, 2 menu penutup, nasi putih, sambal, acar, dan kerupukMinuman lemon tea untuk 100 paxAir mineral tidak terbatasPenggunaan ruangan selama 2 jamSound system standar (2.000 watt) dan 2 buah micPemakaian listrik maksimum sampai dengan 5.000 wattPenggunaan area Klub Kelapa Gading untuk pemotretan PreweddingMenginap 1 malam di Summerville Room (1 kamar)Fasilitas 1 ruang rias untuk pengantinFasilitas ruang meeting untuk technical meeting sebelum acara (jika memungkinkan untuk meeting secara offline)
Wedding Organizer - International Wedding Package by WilonaWedding GownOne Wedding Gown (ready stock)Free to borrow:One Crown/ Hairpiece/EarringOne VeilOne Petticoat for BallgownOne Mannequinآ One RobeMakeup & Hair DoMakeup and Hair Do for Bride Plus RetouchMakeup and Hair Do for Groom plus RetouchTest Make UpGroom`s Suit1 Suit1 Vest1 Pants1 Shirt1 TieMaterial Polyester Fashion/PolycattonWedding Cake3 Tiers Wedding CakeCake Box: 3 Boxes 17cmآ 10 Pcs for Feeding Cake CeremonyWedding OrganizerWorking maximum three months before the wedding dayCreating a detailed rundown for the wedding dayCoordinate and organize the whole event at the wedding day, following the rundown that has been made. We will work from 06.00 in the morning or onwardsConduct a technical meeting before the wedding day with all the vendorsTwo times face to face meeting, including technical meetingPrepare the team that will be on duty on the wedding day with a communication deviceScope of working area: 2 venues only on the same day
Decoration - Intimate Wedding Package (Valid until Dec 2022)Dekorasi backdrop 6m fresh flowerKarpet permadaniTaman depan pelaminan1 welcome gate1 welcome sign acrylic / kayu4 titik standing flower1 hand bouquet1 kotak angpao1 buku tamu
Wedding Day Photo & Video - Package Royal Wedding8 Hours2 Photographer1 Videographer1 Framed printed (40x60)1 Framed printed (minimalis)50+ Edited photosTeaser video cinematic 1 minuteEdit clip video (3-5 minute)1 Exclusive album (20x30 22 page)All files in USB 32GBMC & Entertainment - Intimate MC & Entertainment Package1 Master of Ceremony (MC)1 Singer2 Music Instruments (Keyboard & Guitar/Guitar & Cajon)Sound System"
